"","�..HALTER_ID","ALTER","GESCHLECHT","STADTKREIS","STADTQUARTIER","RASSE1","RASSE2","GEBURTSJAHR_HUND","GESCHLECHT_HUND","HUNDEFARBE"
"1",126,"61-70","m",9,92,"Welsh Terrier","",2011,"w","schwarz/braun"
"2",171,"61-70","m",3,31,"Berner Sennenhund","",2009,"m","tricolor"
"3",574,"61-70","w",2,23,"Mischling gross","",2013,"w","schwarz"
"4",695,"41-50","m",6,63,"Labrador Retriever","",2012,"w","braun"
"5",893,"61-70","w",7,71,"Mittelschnauzer","",2010,"w","schwarz"
"6",1177,"51-60","m",10,102,"Shih Tzu","",2011,"m","schwarz/weiss"
"7",4004,"61-70","w",3,34,"Dackel","",2010,"m","braun"
"8",4050,"41-50","w",11,111,"Bichon frisé","",2012,"m","weiss"
"9",4054,"51-60","w",11,111,"Lagotto Romagnolo","",2016,"w","weiss/beige"
"10",4155,"61-70","w",9,92,"Zwergdackel","",2002,"m","schwarz/grau"
"11",4206,"71-80","w",8,82,"Havaneser","",2016,"w","hellbraun/weiss"
"12",4215,"41-50","w",8,81,"Bergamasker","",2004,"w","schwarz"
"13",4215,"41-50","w",8,81,"Border Collie","",2001,"m","schwarz"
"14",4239,"61-70","w",10,102,"Pinscher","",2013,"w","braun/schwarz"
"15",4261,"71-80","w",7,71,"Labrador Retriever","",2012,"w","beige"
"16",4281,"61-70","w",9,91,"Chihuahua","",2014,"w","schwarz/weiss/braun"
"17",4281,"61-70","w",9,91,"Chihuahua","",2011,"w","hellbraun"
"18",4726,"51-60","m",5,52,"Golden Retriever","",2013,"w","creme"
"19",4726,"51-60","m",5,52,"Mischling klein","",2007,"m","schwarz"
"20",4786,"41-50","m",3,34,"Weimaraner","",2013,"w","silber"
"21",4801,"51-60","m",4,42,"Tibetan Spaniel","",2013,"w","schwarz/braun"
"22",4850,"51-60","m",4,42,"Chihuahua","",2013,"w","beige"
"23",4880,"51-60","m",5,52,"Leonberger","",2011,"m","goldbraun"
